inventory_id,date,year,month,month_name,quarter,product_id,product_name,category,opening_stock,received_qty,dispatched_qty,closing_stock,reorder_level,stock_status,financial_year,day_of_week,shelf_life_days,days_of_stock,shelf_life_risk
IN001681,2023-09-12,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,2731,278,120,2889,200,OK,FY2023-24,Tuesday,2,24.1,Safe
IN001682,2023-09-12,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2142,188,109,2221,500,OK,FY2023-24,Tuesday,3,20.4,Safe
IN001683,2023-09-12,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4095,126,97,4124,500,OK,FY2023-24,Tuesday,3,42.5,Safe
IN001684,2023-09-12,2023,9,September,Q3,P04,Paneer 200g,Paneer,1492,132,252,1372,30,OK,FY2023-24,Tuesday,7,5.4,At Risk
IN001685,2023-09-12,2023,9,September,Q3,P05,Paneer 500g,Paneer,1805,112,249,1668,30,OK,FY2023-24,Tuesday,7,6.7,At Risk
IN001686,2023-09-12,2023,9,September,Q3,P06,Curd 400g,Curd,2999,239,200,3038,80,OK,FY2023-24,Tuesday,5,15.2,Safe
IN001687,2023-09-12,2023,9,September,Q3,P07,Curd 1kg,Curd,1403,137,181,1359,80,OK,FY2023-24,Tuesday,5,7.5,Safe
IN001688,2023-09-12,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2787,203,220,2770,15,OK,FY2023-24,Tuesday,180,12.6,At Risk
IN001689,2023-09-12,2023,9,September,Q3,P09,Ghee 1L,Ghee,2092,146,100,2138,15,OK,FY2023-24,Tuesday,180,21.4,At Risk
IN001690,2023-09-12,2023,9,September,Q3,P10,Butter 100g,Butter,2812,177,56,2933,25,OK,FY2023-24,Tuesday,90,52.4,At Risk
IN001691,2023-09-12,2023,9,September,Q3,P11,Butter 500g,Butter,1163,171,264,1070,25,OK,FY2023-24,Tuesday,90,4.1,At Risk
IN001692,2023-09-12,2023,9,September,Q3,P12,Cream 200ml,Cream,2813,143,76,2880,12,OK,FY2023-24,Tuesday,10,37.9,Safe
IN001693,2023-09-13,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,2889,206,193,2902,200,OK,FY2023-24,Wednesday,2,15.0,Safe
IN001694,2023-09-13,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2221,129,210,2140,500,OK,FY2023-24,Wednesday,3,10.2,Safe
IN001695,2023-09-13,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4124,155,137,4142,500,OK,FY2023-24,Wednesday,3,30.2,Safe
IN001696,2023-09-13,2023,9,September,Q3,P04,Paneer 200g,Paneer,1372,88,42,1418,30,OK,FY2023-24,Wednesday,7,33.8,Safe
IN001697,2023-09-13,2023,9,September,Q3,P05,Paneer 500g,Paneer,1668,191,199,1660,30,OK,FY2023-24,Wednesday,7,8.3,Safe
IN001698,2023-09-13,2023,9,September,Q3,P06,Curd 400g,Curd,3038,235,273,3000,80,OK,FY2023-24,Wednesday,5,11.0,Safe
IN001699,2023-09-13,2023,9,September,Q3,P07,Curd 1kg,Curd,1359,120,77,1402,80,OK,FY2023-24,Wednesday,5,18.2,Safe
IN001700,2023-09-13,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2770,116,194,2692,15,OK,FY2023-24,Wednesday,180,13.9,At Risk
IN001701,2023-09-13,2023,9,September,Q3,P09,Ghee 1L,Ghee,2138,158,208,2088,15,OK,FY2023-24,Wednesday,180,10.0,At Risk
IN001702,2023-09-13,2023,9,September,Q3,P10,Butter 100g,Butter,2933,266,238,2961,25,OK,FY2023-24,Wednesday,90,12.4,At Risk
IN001703,2023-09-13,2023,9,September,Q3,P11,Butter 500g,Butter,1070,182,211,1041,25,OK,FY2023-24,Wednesday,90,4.9,At Risk
IN001704,2023-09-13,2023,9,September,Q3,P12,Cream 200ml,Cream,2880,278,163,2995,12,OK,FY2023-24,Wednesday,10,18.4,Safe
IN001705,2023-09-14,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,2902,147,188,2861,200,OK,FY2023-24,Thursday,2,15.2,Safe
IN001706,2023-09-14,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2140,50,119,2071,500,OK,FY2023-24,Thursday,3,17.4,Safe
IN001707,2023-09-14,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4142,263,79,4326,500,OK,FY2023-24,Thursday,3,54.8,Safe
IN001708,2023-09-14,2023,9,September,Q3,P04,Paneer 200g,Paneer,1418,112,136,1394,30,OK,FY2023-24,Thursday,7,10.2,Safe
IN001709,2023-09-14,2023,9,September,Q3,P05,Paneer 500g,Paneer,1660,129,185,1604,30,OK,FY2023-24,Thursday,7,8.7,Safe
IN001710,2023-09-14,2023,9,September,Q3,P06,Curd 400g,Curd,3000,154,229,2925,80,OK,FY2023-24,Thursday,5,12.8,Safe
IN001711,2023-09-14,2023,9,September,Q3,P07,Curd 1kg,Curd,1402,74,107,1369,80,OK,FY2023-24,Thursday,5,12.8,Safe
IN001712,2023-09-14,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2692,103,100,2695,15,OK,FY2023-24,Thursday,180,27.0,At Risk
IN001713,2023-09-14,2023,9,September,Q3,P09,Ghee 1L,Ghee,2088,87,42,2133,15,OK,FY2023-24,Thursday,180,50.8,At Risk
IN001714,2023-09-14,2023,9,September,Q3,P10,Butter 100g,Butter,2961,284,157,3088,25,OK,FY2023-24,Thursday,90,19.7,At Risk
IN001715,2023-09-14,2023,9,September,Q3,P11,Butter 500g,Butter,1041,188,45,1184,25,OK,FY2023-24,Thursday,90,26.3,At Risk
IN001716,2023-09-14,2023,9,September,Q3,P12,Cream 200ml,Cream,2995,263,75,3183,12,OK,FY2023-24,Thursday,10,42.4,Safe
IN001717,2023-09-15,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,2861,265,80,3046,200,OK,FY2023-24,Friday,2,38.1,Safe
IN001718,2023-09-15,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2071,238,220,2089,500,OK,FY2023-24,Friday,3,9.5,Safe
IN001719,2023-09-15,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4326,217,262,4281,500,OK,FY2023-24,Friday,3,16.3,Safe
IN001720,2023-09-15,2023,9,September,Q3,P04,Paneer 200g,Paneer,1394,159,82,1471,30,OK,FY2023-24,Friday,7,17.9,Safe
IN001721,2023-09-15,2023,9,September,Q3,P05,Paneer 500g,Paneer,1604,94,251,1447,30,OK,FY2023-24,Friday,7,5.8,At Risk
IN001722,2023-09-15,2023,9,September,Q3,P06,Curd 400g,Curd,2925,122,49,2998,80,OK,FY2023-24,Friday,5,61.2,Safe
IN001723,2023-09-15,2023,9,September,Q3,P07,Curd 1kg,Curd,1369,170,207,1332,80,OK,FY2023-24,Friday,5,6.4,Safe
IN001724,2023-09-15,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2695,79,63,2711,15,OK,FY2023-24,Friday,180,43.0,At Risk
IN001725,2023-09-15,2023,9,September,Q3,P09,Ghee 1L,Ghee,2133,299,265,2167,15,OK,FY2023-24,Friday,180,8.2,At Risk
IN001726,2023-09-15,2023,9,September,Q3,P10,Butter 100g,Butter,3088,60,45,3103,25,OK,FY2023-24,Friday,90,69.0,At Risk
IN001727,2023-09-15,2023,9,September,Q3,P11,Butter 500g,Butter,1184,146,45,1285,25,OK,FY2023-24,Friday,90,28.6,At Risk
IN001728,2023-09-15,2023,9,September,Q3,P12,Cream 200ml,Cream,3183,195,130,3248,12,OK,FY2023-24,Friday,10,25.0,Safe
IN001729,2023-09-16,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3046,74,44,3076,200,OK,FY2023-24,Saturday,2,69.9,Safe
IN001730,2023-09-16,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2089,269,244,2114,500,OK,FY2023-24,Saturday,3,8.7,Safe
IN001731,2023-09-16,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4281,85,91,4275,500,OK,FY2023-24,Saturday,3,47.0,Safe
IN001732,2023-09-16,2023,9,September,Q3,P04,Paneer 200g,Paneer,1471,281,246,1506,30,OK,FY2023-24,Saturday,7,6.1,At Risk
IN001733,2023-09-16,2023,9,September,Q3,P05,Paneer 500g,Paneer,1447,112,178,1381,30,OK,FY2023-24,Saturday,7,7.8,Safe
IN001734,2023-09-16,2023,9,September,Q3,P06,Curd 400g,Curd,2998,283,190,3091,80,OK,FY2023-24,Saturday,5,16.3,Safe
IN001735,2023-09-16,2023,9,September,Q3,P07,Curd 1kg,Curd,1332,84,52,1364,80,OK,FY2023-24,Saturday,5,26.2,Safe
IN001736,2023-09-16,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2711,175,61,2825,15,OK,FY2023-24,Saturday,180,46.3,At Risk
IN001737,2023-09-16,2023,9,September,Q3,P09,Ghee 1L,Ghee,2167,252,276,2143,15,OK,FY2023-24,Saturday,180,7.8,At Risk
IN001738,2023-09-16,2023,9,September,Q3,P10,Butter 100g,Butter,3103,122,204,3021,25,OK,FY2023-24,Saturday,90,14.8,At Risk
IN001739,2023-09-16,2023,9,September,Q3,P11,Butter 500g,Butter,1285,65,112,1238,25,OK,FY2023-24,Saturday,90,11.1,At Risk
IN001740,2023-09-16,2023,9,September,Q3,P12,Cream 200ml,Cream,3248,246,259,3235,12,OK,FY2023-24,Saturday,10,12.5,Safe
IN001741,2023-09-18,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3076,136,47,3165,200,OK,FY2023-24,Monday,2,67.3,Safe
IN001742,2023-09-18,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2114,170,83,2201,500,OK,FY2023-24,Monday,3,26.5,Safe
IN001743,2023-09-18,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4275,167,40,4402,500,OK,FY2023-24,Monday,3,110.0,Safe
IN001744,2023-09-18,2023,9,September,Q3,P04,Paneer 200g,Paneer,1506,249,145,1610,30,OK,FY2023-24,Monday,7,11.1,Safe
IN001745,2023-09-18,2023,9,September,Q3,P05,Paneer 500g,Paneer,1381,211,209,1383,30,OK,FY2023-24,Monday,7,6.6,At Risk
IN001746,2023-09-18,2023,9,September,Q3,P06,Curd 400g,Curd,3091,99,125,3065,80,OK,FY2023-24,Monday,5,24.5,Safe
IN001747,2023-09-18,2023,9,September,Q3,P07,Curd 1kg,Curd,1364,138,256,1246,80,OK,FY2023-24,Monday,5,4.9,At Risk
IN001748,2023-09-18,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2825,91,101,2815,15,OK,FY2023-24,Monday,180,27.9,At Risk
IN001749,2023-09-18,2023,9,September,Q3,P09,Ghee 1L,Ghee,2143,257,242,2158,15,OK,FY2023-24,Monday,180,8.9,At Risk
IN001750,2023-09-18,2023,9,September,Q3,P10,Butter 100g,Butter,3021,137,153,3005,25,OK,FY2023-24,Monday,90,19.6,At Risk
IN001751,2023-09-18,2023,9,September,Q3,P11,Butter 500g,Butter,1238,186,256,1168,25,OK,FY2023-24,Monday,90,4.6,At Risk
IN001752,2023-09-18,2023,9,September,Q3,P12,Cream 200ml,Cream,3235,130,216,3149,12,OK,FY2023-24,Monday,10,14.6,Safe
IN001753,2023-09-19,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3165,118,274,3009,200,OK,FY2023-24,Tuesday,2,11.0,Safe
IN001754,2023-09-19,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2201,207,81,2327,500,OK,FY2023-24,Tuesday,3,28.7,Safe
IN001755,2023-09-19,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4402,156,138,4420,500,OK,FY2023-24,Tuesday,3,32.0,Safe
IN001756,2023-09-19,2023,9,September,Q3,P04,Paneer 200g,Paneer,1610,152,253,1509,30,OK,FY2023-24,Tuesday,7,6.0,At Risk
IN001757,2023-09-19,2023,9,September,Q3,P05,Paneer 500g,Paneer,1383,115,163,1335,30,OK,FY2023-24,Tuesday,7,8.2,Safe
IN001758,2023-09-19,2023,9,September,Q3,P06,Curd 400g,Curd,3065,218,240,3043,80,OK,FY2023-24,Tuesday,5,12.7,Safe
IN001759,2023-09-19,2023,9,September,Q3,P07,Curd 1kg,Curd,1246,150,146,1250,80,OK,FY2023-24,Tuesday,5,8.6,Safe
IN001760,2023-09-19,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2815,176,247,2744,15,OK,FY2023-24,Tuesday,180,11.1,At Risk
IN001761,2023-09-19,2023,9,September,Q3,P09,Ghee 1L,Ghee,2158,125,163,2120,15,OK,FY2023-24,Tuesday,180,13.0,At Risk
IN001762,2023-09-19,2023,9,September,Q3,P10,Butter 100g,Butter,3005,73,116,2962,25,OK,FY2023-24,Tuesday,90,25.5,At Risk
IN001763,2023-09-19,2023,9,September,Q3,P11,Butter 500g,Butter,1168,157,118,1207,25,OK,FY2023-24,Tuesday,90,10.2,At Risk
IN001764,2023-09-19,2023,9,September,Q3,P12,Cream 200ml,Cream,3149,206,109,3246,12,OK,FY2023-24,Tuesday,10,29.8,Safe
IN001765,2023-09-20,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3009,286,74,3221,200,OK,FY2023-24,Wednesday,2,43.5,Safe
IN001766,2023-09-20,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2327,114,222,2219,500,OK,FY2023-24,Wednesday,3,10.0,Safe
IN001767,2023-09-20,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4420,199,108,4511,500,OK,FY2023-24,Wednesday,3,41.8,Safe
IN001768,2023-09-20,2023,9,September,Q3,P04,Paneer 200g,Paneer,1509,285,211,1583,30,OK,FY2023-24,Wednesday,7,7.5,Safe
IN001769,2023-09-20,2023,9,September,Q3,P05,Paneer 500g,Paneer,1335,141,272,1204,30,OK,FY2023-24,Wednesday,7,4.4,At Risk
IN001770,2023-09-20,2023,9,September,Q3,P06,Curd 400g,Curd,3043,173,193,3023,80,OK,FY2023-24,Wednesday,5,15.7,Safe
IN001771,2023-09-20,2023,9,September,Q3,P07,Curd 1kg,Curd,1250,98,244,1104,80,OK,FY2023-24,Wednesday,5,4.5,At Risk
IN001772,2023-09-20,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2744,253,152,2845,15,OK,FY2023-24,Wednesday,180,18.7,At Risk
IN001773,2023-09-20,2023,9,September,Q3,P09,Ghee 1L,Ghee,2120,101,80,2141,15,OK,FY2023-24,Wednesday,180,26.8,At Risk
IN001774,2023-09-20,2023,9,September,Q3,P10,Butter 100g,Butter,2962,159,218,2903,25,OK,FY2023-24,Wednesday,90,13.3,At Risk
IN001775,2023-09-20,2023,9,September,Q3,P11,Butter 500g,Butter,1207,168,87,1288,25,OK,FY2023-24,Wednesday,90,14.8,At Risk
IN001776,2023-09-20,2023,9,September,Q3,P12,Cream 200ml,Cream,3246,91,223,3114,12,OK,FY2023-24,Wednesday,10,14.0,Safe
IN001777,2023-09-21,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3221,130,97,3254,200,OK,FY2023-24,Thursday,2,33.5,Safe
IN001778,2023-09-21,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2219,171,112,2278,500,OK,FY2023-24,Thursday,3,20.3,Safe
IN001779,2023-09-21,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4511,235,98,4648,500,OK,FY2023-24,Thursday,3,47.4,Safe
IN001780,2023-09-21,2023,9,September,Q3,P04,Paneer 200g,Paneer,1583,167,155,1595,30,OK,FY2023-24,Thursday,7,10.3,Safe
IN001781,2023-09-21,2023,9,September,Q3,P05,Paneer 500g,Paneer,1204,152,195,1161,30,OK,FY2023-24,Thursday,7,6.0,At Risk
IN001782,2023-09-21,2023,9,September,Q3,P06,Curd 400g,Curd,3023,73,156,2940,80,OK,FY2023-24,Thursday,5,18.8,Safe
IN001783,2023-09-21,2023,9,September,Q3,P07,Curd 1kg,Curd,1104,100,170,1034,80,OK,FY2023-24,Thursday,5,6.1,Safe
IN001784,2023-09-21,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2845,75,138,2782,15,OK,FY2023-24,Thursday,180,20.2,At Risk
IN001785,2023-09-21,2023,9,September,Q3,P09,Ghee 1L,Ghee,2141,59,201,1999,15,OK,FY2023-24,Thursday,180,9.9,At Risk
IN001786,2023-09-21,2023,9,September,Q3,P10,Butter 100g,Butter,2903,54,42,2915,25,OK,FY2023-24,Thursday,90,69.4,At Risk
IN001787,2023-09-21,2023,9,September,Q3,P11,Butter 500g,Butter,1288,70,83,1275,25,OK,FY2023-24,Thursday,90,15.4,At Risk
IN001788,2023-09-21,2023,9,September,Q3,P12,Cream 200ml,Cream,3114,138,214,3038,12,OK,FY2023-24,Thursday,10,14.2,Safe
IN001789,2023-09-22,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3254,160,225,3189,200,OK,FY2023-24,Friday,2,14.2,Safe
IN001790,2023-09-22,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2278,265,152,2391,500,OK,FY2023-24,Friday,3,15.7,Safe
IN001791,2023-09-22,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4648,131,85,4694,500,OK,FY2023-24,Friday,3,55.2,Safe
IN001792,2023-09-22,2023,9,September,Q3,P04,Paneer 200g,Paneer,1595,89,161,1523,30,OK,FY2023-24,Friday,7,9.5,Safe
IN001793,2023-09-22,2023,9,September,Q3,P05,Paneer 500g,Paneer,1161,183,89,1255,30,OK,FY2023-24,Friday,7,14.1,Safe
IN001794,2023-09-22,2023,9,September,Q3,P06,Curd 400g,Curd,2940,90,192,2838,80,OK,FY2023-24,Friday,5,14.8,Safe
IN001795,2023-09-22,2023,9,September,Q3,P07,Curd 1kg,Curd,1034,267,113,1188,80,OK,FY2023-24,Friday,5,10.5,Safe
IN001796,2023-09-22,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2782,171,163,2790,15,OK,FY2023-24,Friday,180,17.1,At Risk
IN001797,2023-09-22,2023,9,September,Q3,P09,Ghee 1L,Ghee,1999,144,121,2022,15,OK,FY2023-24,Friday,180,16.7,At Risk
IN001798,2023-09-22,2023,9,September,Q3,P10,Butter 100g,Butter,2915,149,257,2807,25,OK,FY2023-24,Friday,90,10.9,At Risk
IN001799,2023-09-22,2023,9,September,Q3,P11,Butter 500g,Butter,1275,74,41,1308,25,OK,FY2023-24,Friday,90,31.9,At Risk
IN001800,2023-09-22,2023,9,September,Q3,P12,Cream 200ml,Cream,3038,75,169,2944,12,OK,FY2023-24,Friday,10,17.4,Safe
IN001801,2023-09-23,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3189,212,60,3341,200,OK,FY2023-24,Saturday,2,55.7,Safe
IN001802,2023-09-23,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2391,65,122,2334,500,OK,FY2023-24,Saturday,3,19.1,Safe
IN001803,2023-09-23,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4694,287,168,4813,500,OK,FY2023-24,Saturday,3,28.6,Safe
IN001804,2023-09-23,2023,9,September,Q3,P04,Paneer 200g,Paneer,1523,68,265,1326,30,OK,FY2023-24,Saturday,7,5.0,At Risk
IN001805,2023-09-23,2023,9,September,Q3,P05,Paneer 500g,Paneer,1255,219,146,1328,30,OK,FY2023-24,Saturday,7,9.1,Safe
IN001806,2023-09-23,2023,9,September,Q3,P06,Curd 400g,Curd,2838,56,71,2823,80,OK,FY2023-24,Saturday,5,39.8,Safe
IN001807,2023-09-23,2023,9,September,Q3,P07,Curd 1kg,Curd,1188,221,57,1352,80,OK,FY2023-24,Saturday,5,23.7,Safe
IN001808,2023-09-23,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2790,299,263,2826,15,OK,FY2023-24,Saturday,180,10.7,At Risk
IN001809,2023-09-23,2023,9,September,Q3,P09,Ghee 1L,Ghee,2022,50,203,1869,15,OK,FY2023-24,Saturday,180,9.2,At Risk
IN001810,2023-09-23,2023,9,September,Q3,P10,Butter 100g,Butter,2807,60,98,2769,25,OK,FY2023-24,Saturday,90,28.3,At Risk
IN001811,2023-09-23,2023,9,September,Q3,P11,Butter 500g,Butter,1308,226,190,1344,25,OK,FY2023-24,Saturday,90,7.1,At Risk
IN001812,2023-09-23,2023,9,September,Q3,P12,Cream 200ml,Cream,2944,194,260,2878,12,OK,FY2023-24,Saturday,10,11.1,Safe
IN001813,2023-09-25,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3341,132,259,3214,200,OK,FY2023-24,Monday,2,12.4,Safe
IN001814,2023-09-25,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2334,146,135,2345,500,OK,FY2023-24,Monday,3,17.4,Safe
IN001815,2023-09-25,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4813,188,158,4843,500,OK,FY2023-24,Monday,3,30.7,Safe
IN001816,2023-09-25,2023,9,September,Q3,P04,Paneer 200g,Paneer,1326,109,66,1369,30,OK,FY2023-24,Monday,7,20.7,Safe
IN001817,2023-09-25,2023,9,September,Q3,P05,Paneer 500g,Paneer,1328,121,144,1305,30,OK,FY2023-24,Monday,7,9.1,Safe
IN001818,2023-09-25,2023,9,September,Q3,P06,Curd 400g,Curd,2823,182,177,2828,80,OK,FY2023-24,Monday,5,16.0,Safe
IN001819,2023-09-25,2023,9,September,Q3,P07,Curd 1kg,Curd,1352,262,273,1341,80,OK,FY2023-24,Monday,5,4.9,At Risk
IN001820,2023-09-25,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2826,94,272,2648,15,OK,FY2023-24,Monday,180,9.7,At Risk
IN001821,2023-09-25,2023,9,September,Q3,P09,Ghee 1L,Ghee,1869,101,174,1796,15,OK,FY2023-24,Monday,180,10.3,At Risk
IN001822,2023-09-25,2023,9,September,Q3,P10,Butter 100g,Butter,2769,260,175,2854,25,OK,FY2023-24,Monday,90,16.3,At Risk
IN001823,2023-09-25,2023,9,September,Q3,P11,Butter 500g,Butter,1344,244,153,1435,25,OK,FY2023-24,Monday,90,9.4,At Risk
IN001824,2023-09-25,2023,9,September,Q3,P12,Cream 200ml,Cream,2878,154,183,2849,12,OK,FY2023-24,Monday,10,15.6,Safe
IN001825,2023-09-26,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3214,182,218,3178,200,OK,FY2023-24,Tuesday,2,14.6,Safe
IN001826,2023-09-26,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2345,88,59,2374,500,OK,FY2023-24,Tuesday,3,40.2,Safe
IN001827,2023-09-26,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4843,127,220,4750,500,OK,FY2023-24,Tuesday,3,21.6,Safe
IN001828,2023-09-26,2023,9,September,Q3,P04,Paneer 200g,Paneer,1369,75,114,1330,30,OK,FY2023-24,Tuesday,7,11.7,Safe
IN001829,2023-09-26,2023,9,September,Q3,P05,Paneer 500g,Paneer,1305,153,222,1236,30,OK,FY2023-24,Tuesday,7,5.6,At Risk
IN001830,2023-09-26,2023,9,September,Q3,P06,Curd 400g,Curd,2828,171,171,2828,80,OK,FY2023-24,Tuesday,5,16.5,Safe
IN001831,2023-09-26,2023,9,September,Q3,P07,Curd 1kg,Curd,1341,58,92,1307,80,OK,FY2023-24,Tuesday,5,14.2,Safe
IN001832,2023-09-26,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2648,219,234,2633,15,OK,FY2023-24,Tuesday,180,11.3,At Risk
IN001833,2023-09-26,2023,9,September,Q3,P09,Ghee 1L,Ghee,1796,172,102,1866,15,OK,FY2023-24,Tuesday,180,18.3,At Risk
IN001834,2023-09-26,2023,9,September,Q3,P10,Butter 100g,Butter,2854,156,107,2903,25,OK,FY2023-24,Tuesday,90,27.1,At Risk
IN001835,2023-09-26,2023,9,September,Q3,P11,Butter 500g,Butter,1435,178,244,1369,25,OK,FY2023-24,Tuesday,90,5.6,At Risk
IN001836,2023-09-26,2023,9,September,Q3,P12,Cream 200ml,Cream,2849,258,91,3016,12,OK,FY2023-24,Tuesday,10,33.1,Safe
IN001837,2023-09-27,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3178,173,139,3212,200,OK,FY2023-24,Wednesday,2,23.1,Safe
IN001838,2023-09-27,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2374,209,223,2360,500,OK,FY2023-24,Wednesday,3,10.6,Safe
IN001839,2023-09-27,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4750,139,212,4677,500,OK,FY2023-24,Wednesday,3,22.1,Safe
IN001840,2023-09-27,2023,9,September,Q3,P04,Paneer 200g,Paneer,1330,299,175,1454,30,OK,FY2023-24,Wednesday,7,8.3,Safe
IN001841,2023-09-27,2023,9,September,Q3,P05,Paneer 500g,Paneer,1236,263,176,1323,30,OK,FY2023-24,Wednesday,7,7.5,Safe
IN001842,2023-09-27,2023,9,September,Q3,P06,Curd 400g,Curd,2828,270,121,2977,80,OK,FY2023-24,Wednesday,5,24.6,Safe
IN001843,2023-09-27,2023,9,September,Q3,P07,Curd 1kg,Curd,1307,116,133,1290,80,OK,FY2023-24,Wednesday,5,9.7,Safe
IN001844,2023-09-27,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2633,244,227,2650,15,OK,FY2023-24,Wednesday,180,11.7,At Risk
IN001845,2023-09-27,2023,9,September,Q3,P09,Ghee 1L,Ghee,1866,184,88,1962,15,OK,FY2023-24,Wednesday,180,22.3,At Risk
IN001846,2023-09-27,2023,9,September,Q3,P10,Butter 100g,Butter,2903,205,103,3005,25,OK,FY2023-24,Wednesday,90,29.2,At Risk
IN001847,2023-09-27,2023,9,September,Q3,P11,Butter 500g,Butter,1369,147,104,1412,25,OK,FY2023-24,Wednesday,90,13.6,At Risk
IN001848,2023-09-27,2023,9,September,Q3,P12,Cream 200ml,Cream,3016,79,131,2964,12,OK,FY2023-24,Wednesday,10,22.6,Safe
IN001849,2023-09-28,2023,9,September,Q3,P01,Milk Bulk 1L,Milk Bulk,3212,289,84,3417,200,OK,FY2023-24,Thursday,2,40.7,Safe
IN001850,2023-09-28,2023,9,September,Q3,P02,Milk Packet 500ml,Milk Packet,2360,140,155,2345,500,OK,FY2023-24,Thursday,3,15.1,Safe
IN001851,2023-09-28,2023,9,September,Q3,P03,Milk Packet 200ml,Milk Packet,4677,115,75,4717,500,OK,FY2023-24,Thursday,3,62.9,Safe
IN001852,2023-09-28,2023,9,September,Q3,P04,Paneer 200g,Paneer,1454,64,277,1241,30,OK,FY2023-24,Thursday,7,4.5,At Risk
IN001853,2023-09-28,2023,9,September,Q3,P05,Paneer 500g,Paneer,1323,207,182,1348,30,OK,FY2023-24,Thursday,7,7.4,Safe
IN001854,2023-09-28,2023,9,September,Q3,P06,Curd 400g,Curd,2977,202,237,2942,80,OK,FY2023-24,Thursday,5,12.4,Safe
IN001855,2023-09-28,2023,9,September,Q3,P07,Curd 1kg,Curd,1290,279,125,1444,80,OK,FY2023-24,Thursday,5,11.6,Safe
IN001856,2023-09-28,2023,9,September,Q3,P08,Ghee 500ml,Ghee,2650,196,121,2725,15,OK,FY2023-24,Thursday,180,22.5,At Risk
IN001857,2023-09-28,2023,9,September,Q3,P09,Ghee 1L,Ghee,1962,204,123,2043,15,OK,FY2023-24,Thursday,180,16.6,At Risk
IN001858,2023-09-28,2023,9,September,Q3,P10,Butter 100g,Butter,3005,113,237,2881,25,OK,FY2023-24,Thursday,90,12.2,At Risk
IN001859,2023-09-28,2023,9,September,Q3,P11,Butter 500g,Butter,1412,244,202,1454,25,OK,FY2023-24,Thursday,90,7.2,At Risk
